LABEL,WORD,WORD+1,WORD-1,ABBR,CAP,NUM,LOC,PREF,SUFF,PREP,NERTAG,NEXTWORDS,PREVWORDS
O,Caesars,World,PHI,0,1,0,0,0,0,0,ORG,"[['World', 'I-ACQUIRED', 'ORG'], ['Inc', 'I-ACQUIRED', 'ORG']]","['PHI', 'PHI', 'PHI']"
O,World,Inc,PHI,0,1,0,0,0,1,0,ORG,"[['Inc', 'I-ACQUIRED', 'ORG'], ['declined', 'O', 'OTHER']]","['PHI', 'PHI', 'PHI']"
O,Inc,declined,World,0,1,0,0,0,0,0,ORG,"[['declined', 'O', 'OTHER'], ['immediate', 'O', 'OTHER']]","['PHI', 'PHI', ['Caesars', 'B-ACQUIRED', 'ORG']]"
O,declined,immediate,Inc,0,0,0,0,0,0,0,OTHER,"[['immediate', 'O', 'OTHER'], ['comment', 'O', 'OTHER']]","['PHI', ['Caesars', 'B-ACQUIRED', 'ORG'], ['World', 'I-ACQUIRED', 'ORG']]"
O,immediate,comment,declined,0,0,0,0,0,0,0,OTHER,"[['comment', 'O', 'OTHER'], ['on', 'O', 'OTHER']]","[['World', 'I-ACQUIRED', 'ORG'], ['Inc', 'I-ACQUIRED', 'ORG']]"
B-ACQLOC,"Bellevue,",Wash,in,0,1,0,0,0,0,0,OTHER,"[['Wash', 'I-ACQLOC', 'OTHER'], ['.,', 'O', 'OTHER']]","[[""Vernell's,"", 'O', 'OTHER'], ['based', 'O', 'OTHER']]"
I-ACQLOC,Wash,".,","Bellevue,",0,1,0,0,0,0,0,OTHER,"[['.,', 'O', 'OTHER'], ['had', 'O', 'OTHER']]","[['based', 'O', 'OTHER'], ['in', 'O', 'OTHER']]"
O,".,",had,Wash,0,0,0,0,0,0,0,OTHER,"[['had', 'O', 'OTHER'], ['annual', 'O', 'OTHER']]","[['in', 'O', 'OTHER'], ['Bellevue,', 'B-ACQLOC', 'OTHER']]"
O,had,annual,".,",0,0,0,0,0,0,0,OTHER,"[['annual', 'O', 'OTHER'], ['sales', 'O', 'OTHER']]","[['Bellevue,', 'B-ACQLOC', 'OTHER'], ['Wash', 'I-ACQLOC', 'OTHER']]"
O,annual,sales,had,0,0,0,0,0,0,0,OTHER,"[['sales', 'O', 'OTHER'], ['exceeding', 'O', 'OTHER']]","[['Wash', 'I-ACQLOC', 'OTHER'], ['.,', 'O', 'OTHER']]"
O,sales,exceeding,annual,0,0,0,0,0,0,0,OTHER,"[['exceeding', 'O', 'OTHER'], ['30', 'O', 'OTHER']]","[['.,', 'O', 'OTHER'], ['had', 'O', 'OTHER']]"
O,exceeding,30,sales,0,0,0,0,0,0,0,OTHER,"[['30', 'O', 'OTHER'], ['mln', 'O', 'OTHER']]","[['had', 'O', 'OTHER'], ['annual', 'O', 'OTHER']]"
B-ACQLOC,"Jackson,",Mich.,a,0,1,0,0,0,0,0,OTHER,"[['Mich.', 'I-ACQLOC', 'OTHER'], ['-based', 'O', 'OTHER']]","[['of', 'O', 'OTHER'], ['Hayes,', 'O', 'OTHER']]"
I-ACQLOC,Mich.,-based,"Jackson,",0,1,0,0,0,0,0,OTHER,"[['-based', 'O', 'OTHER'], ['maker', 'O', 'OTHER']]","[['Hayes,', 'O', 'OTHER'], ['a', 'O', 'OTHER']]"
O,-based,maker,Mich.,0,0,0,0,0,0,0,OTHER,"[['maker', 'O', 'OTHER'], ['of', 'O', 'OTHER']]","[['a', 'O', 'OTHER'], ['Jackson,', 'B-ACQLOC', 'OTHER']]"
O,maker,of,-based,0,0,0,0,0,0,0,OTHER,"[['of', 'O', 'OTHER'], ['auto', 'B-ACQBUS', 'OTHER']]","[['Jackson,', 'B-ACQLOC', 'OTHER'], ['Mich.', 'I-ACQLOC', 'OTHER']]"
O,of,auto,maker,0,0,0,0,0,0,1,OTHER,"[['auto', 'B-ACQBUS', 'OTHER'], ['supplies', 'I-ACQBUS', 'OTHER']]","[['Mich.', 'I-ACQLOC', 'OTHER'], ['-based', 'O', 'OTHER']]"
O,auto,supplies,of,0,0,0,0,0,0,0,OTHER,"[['supplies', 'I-ACQBUS', 'OTHER'], [',', 'O', 'OTHER']]","[['-based', 'O', 'OTHER'], ['maker', 'O', 'OTHER']]"
O,supplies,",",auto,0,0,0,0,0,0,0,OTHER,"[[',', 'O', 'OTHER'], ['will', 'O', 'OTHER']]","[['maker', 'O', 'OTHER'], ['of', 'O', 'OTHER']]"
B-ACQLOC,Ohio,-based,the,0,1,0,0,0,0,0,GPE,"[['-based', 'O', 'OTHER'], ['company', 'O', 'OTHER']]","[['to', 'I-STATUS', 'OTHER'], ['buy', 'I-STATUS', 'OTHER']]"
O,-based,company,Ohio,0,0,0,0,0,0,0,OTHER,"[['company', 'O', 'OTHER'], ['for', 'O', 'OTHER']]","[['buy', 'I-STATUS', 'OTHER'], ['the', 'O', 'OTHER']]"
O,company,for,-based,0,0,0,0,0,0,0,OTHER,"[['for', 'O', 'OTHER'], ['30.625', 'O', 'OTHER']]","[['the', 'O', 'OTHER'], ['Ohio', 'B-ACQLOC', 'GPE']]"
O,for,30.625,company,0,0,0,0,0,0,1,OTHER,"[['30.625', 'O', 'OTHER'], ['dlrs', 'O', 'OTHER']]","[['Ohio', 'B-ACQLOC', 'GPE'], ['-based', 'O', 'OTHER']]"
O,30.625,dlrs,for,0,0,1,0,0,0,0,OTHER,"[['dlrs', 'O', 'OTHER'], ['a', 'O', 'OTHER']]","[['-based', 'O', 'OTHER'], ['company', 'O', 'OTHER']]"
O,dlrs,a,30.625,0,0,0,0,0,0,0,OTHER,"[['a', 'O', 'OTHER'], ['share', 'O', 'OTHER']]","[['company', 'O', 'OTHER'], ['for', 'O', 'OTHER']]"
B-ACQLOC,"Mississauga,",Ontario,C-I-L.,0,1,0,0,0,0,0,OTHER,"[['Ontario', 'I-ACQLOC', 'OTHER'], ['-based', 'O', 'OTHER']]","[['launched', 'O', 'OTHER'], ['by', 'O', 'OTHER']]"
I-ACQLOC,Ontario,-based,"Mississauga,",0,1,0,0,0,0,0,OTHER,"[['-based', 'O', 'OTHER'], ['Tricil', 'O', 'OTHER']]","[['by', 'O', 'OTHER'], ['C-I-L.', 'O', 'OTHER']]"
O,-based,Tricil,Ontario,0,0,0,0,0,0,0,OTHER,"[['Tricil', 'O', 'OTHER'], ['is', 'O', 'OTHER']]","[['C-I-L.', 'O', 'OTHER'], ['Mississauga,', 'B-ACQLOC', 'OTHER']]"
O,Tricil,is,-based,0,1,0,0,0,0,0,OTHER,"[['is', 'O', 'OTHER'], ['a', 'O', 'OTHER']]","[['Mississauga,', 'B-ACQLOC', 'OTHER'], ['Ontario', 'I-ACQLOC', 'OTHER']]"
O,is,a,Tricil,0,0,0,0,0,0,0,OTHER,"[['a', 'O', 'OTHER'], ['waste', 'B-ACQBUS', 'OTHER']]","[['Ontario', 'I-ACQLOC', 'OTHER'], ['-based', 'O', 'OTHER']]"
O,a,waste,is,0,0,0,0,0,0,0,OTHER,"[['waste', 'B-ACQBUS', 'OTHER'], ['management', 'I-ACQBUS', 'OTHER']]","[['-based', 'O', 'OTHER'], ['Tricil', 'O', 'OTHER']]"
O,waste,management,a,0,0,0,0,0,0,0,OTHER,"[['management', 'I-ACQBUS', 'OTHER'], ['company', 'O', 'OTHER']]","[['Tricil', 'O', 'OTHER'], ['is', 'O', 'OTHER']]"
B-ACQLOC,southeastern,Colorado,in,0,0,0,0,0,0,0,OTHER,"[['Colorado', 'I-ACQLOC', 'OTHER'], ['from', 'O', 'OTHER']]","[['pizza', 'I-ACQUIRED', 'OTHER'], ['restaurants', 'I-ACQUIRED', 'OTHER']]"
I-ACQLOC,Colorado,from,southeastern,0,1,0,0,0,0,0,OTHER,"[['from', 'O', 'OTHER'], ['creditors', 'B-SELLER', 'OTHER']]","[['restaurants', 'I-ACQUIRED', 'OTHER'], ['in', 'O', 'OTHER']]"
O,from,creditors,Colorado,0,0,0,0,0,0,1,OTHER,"[['creditors', 'B-SELLER', 'OTHER'], ['foreclosing', 'I-SELLER', 'OTHER']]","[['in', 'O', 'OTHER'], ['southeastern', 'B-ACQLOC', 'OTHER']]"
O,creditors,foreclosing,from,0,0,0,0,0,0,0,OTHER,"[['foreclosing', 'I-SELLER', 'OTHER'], ['on', 'I-SELLER', 'OTHER']]","[['southeastern', 'B-ACQLOC', 'OTHER'], ['Colorado', 'I-ACQLOC', 'OTHER']]"
O,foreclosing,on,creditors,0,0,0,0,0,0,0,OTHER,"[['on', 'I-SELLER', 'OTHER'], ['the', 'I-SELLER', 'OTHER']]","[['Colorado', 'I-ACQLOC', 'OTHER'], ['from', 'O', 'OTHER']]"
O,on,the,foreclosing,0,0,0,0,0,0,1,OTHER,"[['the', 'I-SELLER', 'OTHER'], ['facilities', 'I-SELLER', 'OTHER']]","[['from', 'O', 'OTHER'], ['creditors', 'B-SELLER', 'OTHER']]"
O,the,facilities,on,0,0,0,0,0,0,0,OTHER,"[['facilities', 'I-SELLER', 'OTHER'], ['.', 'O', 'OTHER']]","[['creditors', 'B-SELLER', 'OTHER'], ['foreclosing', 'I-SELLER', 'OTHER']]"
B-ACQLOC,"Eschborn,",West,in,0,1,0,0,0,0,0,OTHER,"[['West', 'I-ACQLOC', 'OTHER'], ['Germany', 'I-ACQLOC', 'OTHER']]","[['unit,', 'O', 'OTHER'], ['based', 'O', 'OTHER']]"
I-ACQLOC,West,Germany,"Eschborn,",0,1,0,0,0,0,0,OTHER,"[['Germany', 'I-ACQLOC', 'OTHER'], [',', 'O', 'OTHER']]","[['based', 'O', 'OTHER'], ['in', 'O', 'OTHER']]"
I-ACQLOC,Germany,",",West,0,1,0,1,0,0,0,OTHER,"[[',', 'O', 'OTHER'], ['had', 'O', 'OTHER']]","[['in', 'O', 'OTHER'], ['Eschborn,', 'B-ACQLOC', 'OTHER']]"
O,",",had,Germany,0,0,0,0,0,0,0,OTHER,"[['had', 'O', 'OTHER'], ['revenues', 'O', 'OTHER']]","[['Eschborn,', 'B-ACQLOC', 'OTHER'], ['West', 'I-ACQLOC', 'OTHER']]"
O,had,revenues,",",0,0,0,0,0,0,0,OTHER,"[['revenues', 'O', 'OTHER'], ['in', 'O', 'OTHER']]","[['West', 'I-ACQLOC', 'OTHER'], ['Germany', 'I-ACQLOC', 'OTHER']]"
O,revenues,in,had,0,0,0,0,0,0,0,OTHER,"[['in', 'O', 'OTHER'], ['1986', 'O', 'OTHER']]","[['Germany', 'I-ACQLOC', 'OTHER'], [',', 'O', 'OTHER']]"
O,in,1986,revenues,0,0,0,0,0,0,1,OTHER,"[['1986', 'O', 'OTHER'], ['of', 'O', 'OTHER']]","[[',', 'O', 'OTHER'], ['had', 'O', 'OTHER']]"
O,1986,of,in,0,0,1,0,0,0,0,OTHER,"[['of', 'O', 'OTHER'], ['more', 'O', 'OTHER']]","[['had', 'O', 'OTHER'], ['revenues', 'O', 'OTHER']]"
B-ACQLOC,U.S.,Oil,a,1,1,0,0,0,0,0,OTHER,"[['Oil', 'B-ACQBUS', 'OTHER'], ['and', 'I-ACQBUS', 'OTHER']]","[['Corp', 'I-ACQUIRED', 'ORG'], [',', 'O', 'OTHER']]"
O,Oil,and,U.S.,0,1,0,0,0,0,0,OTHER,"[['and', 'I-ACQBUS', 'OTHER'], ['gas', 'I-ACQBUS', 'OTHER']]","[[',', 'O', 'OTHER'], ['a', 'O', 'OTHER']]"
O,and,gas,Oil,0,0,0,0,0,0,0,OTHER,"[['gas', 'I-ACQBUS', 'OTHER'], ['exploration', 'I-ACQBUS', 'OTHER']]","[['a', 'O', 'OTHER'], ['U.S.', 'B-ACQLOC', 'OTHER']]"
O,gas,exploration,and,0,0,0,0,0,0,0,OTHER,"[['exploration', 'I-ACQBUS', 'OTHER'], ['and', 'I-ACQBUS', 'OTHER']]","[['U.S.', 'B-ACQLOC', 'OTHER'], ['Oil', 'B-ACQBUS', 'OTHER']]"
O,exploration,and,gas,0,0,0,0,0,0,0,OTHER,"[['and', 'I-ACQBUS', 'OTHER'], ['production', 'I-ACQBUS', 'OTHER']]","[['Oil', 'B-ACQBUS', 'OTHER'], ['and', 'I-ACQBUS', 'OTHER']]"
O,and,production,exploration,0,0,0,0,0,0,0,OTHER,"[['production', 'I-ACQBUS', 'OTHER'], ['company.', 'O', 'OTHER']]","[['and', 'I-ACQBUS', 'OTHER'], ['gas', 'I-ACQBUS', 'OTHER']]"
B-ACQLOC,U.S.,Interests.,existing,1,1,0,0,0,0,0,OTHER,"[['Interests.', 'O', 'OTHER'], ['Cenergy', 'O', 'OTHER']]","[['to', 'O', 'OTHER'], ['its', 'O', 'OTHER']]"
O,Interests.,Cenergy,U.S.,0,1,0,0,0,0,0,OTHER,"[['Cenergy', 'O', 'OTHER'], ['reported', 'O', 'OTHER']]","[['its', 'O', 'OTHER'], ['existing', 'O', 'OTHER']]"
O,Cenergy,reported,Interests.,0,1,0,0,0,0,0,OTHER,"[['reported', 'O', 'OTHER'], ['a', 'O', 'OTHER']]","[['existing', 'O', 'OTHER'], ['U.S.', 'B-ACQLOC', 'OTHER']]"
O,reported,a,Cenergy,0,0,0,0,0,0,0,OTHER,"[['a', 'O', 'OTHER'], ['net', 'O', 'OTHER']]","[['U.S.', 'B-ACQLOC', 'OTHER'], ['Interests.', 'O', 'OTHER']]"
O,a,net,reported,0,0,0,0,0,0,0,OTHER,"[['net', 'O', 'OTHER'], ['loss', 'O', 'OTHER']]","[['Interests.', 'O', 'OTHER'], ['Cenergy', 'O', 'OTHER']]"
O,net,loss,a,0,0,0,0,0,0,0,OTHER,"[['loss', 'O', 'OTHER'], ['of', 'O', 'OTHER']]","[['Cenergy', 'O', 'OTHER'], ['reported', 'O', 'OTHER']]"
B-ACQLOC,"Dublin,","London,",the,0,1,0,0,0,0,0,OTHER,"[['London,', 'I-ACQLOC', 'OTHER'], ['Nigerian', 'I-ACQLOC', 'OTHER']]","[['mean', 'O', 'OTHER'], ['buying', 'O', 'OTHER']]"
I-ACQLOC,"London,",Nigerian,"Dublin,",0,1,0,0,0,0,0,OTHER,"[['Nigerian', 'I-ACQLOC', 'OTHER'], ['and', 'I-ACQLOC', 'OTHER']]","[['buying', 'O', 'OTHER'], ['the', 'O', 'OTHER']]"
I-ACQLOC,Nigerian,and,"London,",0,1,0,0,0,0,0,OTHER,"[['and', 'I-ACQLOC', 'OTHER'], ['Malaysian', 'I-ACQLOC', 'OTHER']]","[['the', 'O', 'OTHER'], ['Dublin,', 'B-ACQLOC', 'OTHER']]"
I-ACQLOC,and,Malaysian,Nigerian,0,0,0,0,0,0,0,OTHER,"[['Malaysian', 'I-ACQLOC', 'OTHER'], ['breweries', 'O', 'OTHER']]","[['Dublin,', 'B-ACQLOC', 'OTHER'], ['London,', 'I-ACQLOC', 'OTHER']]"
I-ACQLOC,Malaysian,breweries,and,0,1,0,0,0,0,0,OTHER,"[['breweries', 'O', 'OTHER'], ['because', 'O', 'OTHER']]","[['London,', 'I-ACQLOC', 'OTHER'], ['Nigerian', 'I-ACQLOC', 'OTHER']]"
O,breweries,because,Malaysian,0,0,0,0,0,0,0,OTHER,"[['because', 'O', 'OTHER'], ['""It', 'O', 'OTHER']]","[['Nigerian', 'I-ACQLOC', 'OTHER'], ['and', 'I-ACQLOC', 'OTHER']]"
O,because,"""It",breweries,0,0,0,0,0,0,0,OTHER,"[['""It', 'O', 'OTHER'], ['could', 'O', 'OTHER']]","[['and', 'I-ACQLOC', 'OTHER'], ['Malaysian', 'I-ACQLOC', 'OTHER']]"
O,"""It",could,because,0,0,0,0,0,0,0,OTHER,"[['could', 'O', 'OTHER'], ['only', 'O', 'OTHER']]","[['Malaysian', 'I-ACQLOC', 'OTHER'], ['breweries', 'O', 'OTHER']]"
O,could,only,"""It",0,0,0,0,0,0,0,OTHER,"[['only', 'O', 'OTHER'], ['be', 'O', 'OTHER']]","[['breweries', 'O', 'OTHER'], ['because', 'O', 'OTHER']]"
O,only,be,could,0,0,0,0,0,0,0,OTHER,"[['be', 'O', 'OTHER'], ['sold', 'O', 'OTHER']]","[['because', 'O', 'OTHER'], ['""It', 'O', 'OTHER']]"
